ID;Name;Kategorie;Icon;Vorschlaege;SaisonMonate
karotten;Karotten / Möhren;Gemüse;Carrot;1kg Beutel,Bund,500g,Bio;7,8,9,10,11,12,1,2
paprika;Paprika;Gemüse;Carrot;Rot,Gelb,Grün,3er Mix,500g;7,8,9,10
zwiebeln;Zwiebeln;Gemüse;Carrot;Gelb,Rot,Schalotten,1kg Netz,500g;
schalotten;Schalotten;Gemüse;Carrot;250g Netz,Französisch;
fruhlingszwiebeln;Frühlingszwiebeln / Lauchzwiebeln;Gemüse;Carrot;1 Bund,2 Bünde;
knoblauch;Knoblauch;Gemüse;Carrot;1 Knolle,3er Pack,Zehen;
kartoffeln;Kartoffeln;Gemüse;Carrot;Festkochend,Mehligkochend,Vorwiegend fest,2.5kg,1kg;
susskartoffeln;Süßkartoffeln;Gemüse;Carrot;1kg,2 Stk,Bio;
brokkoli;Brokkoli;Gemüse;Salad;500g Kopf,1 Stk;6,7,8,9,10
blumenkohl;Blumenkohl;Gemüse;Salad;1 Kopf,Frisch;6,7,8,9,10
spinat;Spinat;Gemüse;Leaf;Blattspinat,Rahmspinat,Baby-Spinat,500g;4,5,9,10
eisbergsalat;Eisbergsalat;Gemüse;Salad;1 Kopf,Knackig;6,7,8,9
kopfsalat;Kopfsalat;Gemüse;Salad;1 Kopf,Frisch;5,6,7,8
rucola;Rucola;Gemüse;Leaf;125g Schale,Bio;5,6,7,8,9
feldsalat;Feldsalat / Nüsslisalat;Gemüse;Leaf;150g Schale,Geputzt;10,11,12,1,2
champignons;Champignons;Gemüse;Carrot;Weiß,Braune Champignons,400g,250g;
kurbis;Kürbis;Gemüse;Carrot;Hokkaido,Butternut,1 Stk;9,10,11
lauch;Lauch / Porree;Gemüse;Carrot;1 Stange,500g;9,10,11,12,1,2
auberginen;Auberginen;Gemüse;Carrot;1 Stk,2 Stk,Dunkelblau;7,8,9
radieschen;Radieschen;Gemüse;Carrot;1 Bund,Knackig;5,6,7,8,9
spargel;Spargel;Gemüse;Carrot;Weiß 500g,Grün 500g,1kg;4,5,6
sellerie;Knollensellerie;Gemüse;Carrot;1 Knolle,Halber Kopf;9,10,11,12,1
staudensellerie;Staudensellerie / Stangensellerie;Gemüse;Carrot;1 Staudenstrunk,500g;
rotkohl;Rotkohl / Rotkraut;Gemüse;Salad;1 Kopf,Glas 680g;9,10,11,12,1
weisskohl;Weißkohl;Gemüse;Salad;1 Kopf,Zum Eisbein;9,10,11,12,1
grunkohl;Grünkohl;Gemüse;Leaf;Frisch 1kg,TK;11,12,1,2
rosenkohl;Rosenkohl;Gemüse;Salad;500g Netz,Frisch;10,11,12,1
wirsing;Wirsing;Gemüse;Salad;1 Kopf,500g;9,10,11,12
chinakohl;Chinakohl;Gemüse;Salad;1 Kopf,Zum Wok;
pakchoi;Pak Choi;Gemüse;Leaf;2er Pack,Mini Pak Choi;
erbsen;Erbsen;Gemüse;Carrot;Frisch Schoten,TK 450g,Dose;6,7
bohnen;Grüne Bohnen / Buschbohnen;Gemüse;Carrot;500g Beutel,Prinzessbohnen;7,8,9
dickebohnen;Dicke Bohnen / Saubohnen;Gemüse;Carrot;Frisch,Glas 400g;6,7
linsen;Linsen;Gemüse;Nut;Brown 500g,Rote Linsen,Beluga,Tellerlinsen;
kichererbsen;Kichererbsen;Gemüse;Nut;Dose 400g,Getrocknet 500g;
mais;Zuckermais;Gemüse;Carrot;Frisch 2er Kolben,Dose 300g;8,9,10
fenchel;Fenchel;Gemüse;Carrot;2 Knollen,500g;6,7,8,9,10
meerrettich;Meerrettich;Gemüse;Carrot;Stange,Glas geraspelt;
rote_bete;Rote Bete;Gemüse;Carrot;Vakuumiert 500g,Frisch;9,10,11,12,1
pastinaken;Pastinaken;Gemüse;Carrot;500g Beutel,Bio;10,11,12,1,2
petersilienwurzel;Petersilienwurzel;Gemüse;Carrot;1 Bund,Für Suppengrün;10,11,12
mangold;Mangold;Gemüse;Leaf;1 Bund,Bunt;6,7,8,9,10
chicoree;Chicorée;Gemüse;Salad;500g Packung,3 Stk;11,12,1,2,3
endivie;Endiviensalat;Gemüse;Salad;1 Kopf,Kraus;9,10,11,12
kresse;Gartenkresse;Gemüse;Leaf;1 Kästchen,Frisch;
bambussprossen;Bambussprossen;Gemüse;Carrot;Dose 300g,Streifen;
suppengrun;Suppengrün / Suppengemüse;Gemüse;Carrot;1 Bund frisch,TK;
brot;Brot;Brot & Gebäck;Wheat;Vollkornbrot,Weltmeisterbrot,Graubrot,Dinkelbrot,Eiweißbrot,Mehrkornbrot,Walnussbrot,Kürbiskernbrot,Mischbrot,Toastbrot,Baguette,1 Laib;
brotchen;Brötchen;Brot & Gebäck;Wheat;Weizen,Kaiser,Vollkorn,Mehrkorn,Weltmeister,Aufbackbrötchen,Körnerecke,4 Stk,6 Stk;
toast;Toastbrot;Brot & Gebäck;Wheat;Buttertoast,Vollkorntoast,500g,750g;
baguette;Baguette;Brot & Gebäck;Wheat;Frisch,Zum Aufbacken,2 Stk;
croissant;Croissant;Brot & Gebäck;Wheat;Buttercroissant,Schoko,2 Stk,6er Pack,Aufback-Croissants;
brezel;Laugenbrezel;Brot & Gebäck;Wheat;2 Stk,Mit Salz;
knackebrot;Knäckebrot;Brot & Gebäck;Wheat;Wasa Original,Vollkorn,Sesam;
pita;Pita-Brot;Brot & Gebäck;Wheat;4er Pack,Zum Füllen;
pizzateig;Pizzateig;Brot & Gebäck;Pizza;Mit Soße,XXL Blech;
pumpernickel;Pumpernickel;Brot & Gebäck;Wheat;500g Packung,Schwarzbrot;
naanbrot;Naan-Brot;Brot & Gebäck;Wheat;Knoblauch,Koriander,2er Pack;
ciabatta;Ciabatta;Brot & Gebäck;Wheat;Oliven,Natur,300g;
focaccia;Focaccia;Brot & Gebäck;Wheat;Rosmarin,Tomate,1 Stk;
rosinenbrot;Rosinenbrot;Brot & Gebäck;Wheat;Mit Butter,500g;
franzbrotchen;Franzbrötchen;Brot & Gebäck;Wheat;Zimt,2 Stk;
schokobrotchen;Schokobrötchen;Brot & Gebäck;Wheat;4er Pack,Soft;
milchbrotchen;Milchbrötchen;Brot & Gebäck;Wheat;10er Pack,Soft;
donut;Donut;Brot & Gebäck;Cookie;Schoko,Zucker,Pink Glaze,Spritzring,2 Stk;
muffin;Muffins;Brot & Gebäck;Cake;Schoko,Blaubeer,4er Pack;
bagel;Bagel;Brot & Gebäck;Wheat;Sesam,Everything,4er Pack;
wraps;Tortilla-Wraps;Brot & Gebäck;Wheat;6er Pack,Vollkorn,Weizen;
tacoshells;Taco-Shells;Brot & Gebäck;Wheat;12er Pack,Knusprig;
burgerbuns;Burger-Buns;Brot & Gebäck;Sandwich;Brioche,Sesam,4er Pack;
hotdogbuns;Hotdog-Buns;Brot & Gebäck;Sandwich;4er Pack,Soft;
brioche;Brioche-Zopf;Brot & Gebäck;Wheat;400g,Butter;
grissini;Grissini;Brot & Gebäck;Wheat;125g Packung,Sesam;
zwieback;Zwieback;Brot & Gebäck;Wheat;Brandt,225g;
filoteig;Filoteig / Yufkateig;Brot & Gebäck;Wheat;250g Kühlung;
blatterteig;Blätterteig;Brot & Gebäck;Wheat;Rolle Kühlung 275g,TK;
flammkuchenteig;Flammkuchenteig;Brot & Gebäck;Wheat;Frischrolle 260g;
murbeteig;Mürbeteig;Brot & Gebäck;Wheat;Rolle Kühlung;
hefegeback;Hefezopf;Brot & Gebäck;Wheat;Mit Hagelzucker,500g;
krapfen;Berliner;Brot & Gebäck;Cookie;Mit Marmelade,2 Stk;
nussschnecke;Nuss-Schnecke;Brot & Gebäck;Cookie;1 Stk,Frisch;
apfeltasche;Apfeltasche;Brot & Gebäck;Cookie;2 Stk,Blätterteig;
stollen;Christstollen;Brot & Gebäck;Wheat;Dresdner 500g,Marzipan;11,12
milch;Milch;Milchprodukte;Milk;Vollmilch 3.5%,Fettarm 1.5%,Hafermilch,Laktosefrei,1l,2l;
schlagsahne;Schlagsahne;Milchprodukte;Milk;200g Becher,30% Fett,2er Pack;
joghurt;Joghurt;Milchprodukte;Milk;3.5% Fett,1.5% Fett,500g Glas,1kg,500g Becher,Vanille,150g Becher,4er Pack,Erdbeere,4x125g,Frucht-Mix;
griechischer_joghurt;Griechischer Joghurt;Milchprodukte;Milk;10% Fett,500g Becher,4er Pack;
butter;Butter;Milchprodukte;Milk;Süßrahm,Sauerrahm,250g Packung,Bio;
frischkase;Frischkäse;Milchprodukte;Milk;Natur,Kräuter,Bresso,200g,Vegan,Simply V 150g,Kiri;
saure_sahne;Saure Sahne;Milchprodukte;Milk;10% Fett,200g Becher;
creme_fraiche;Crème Fraîche;Milchprodukte;Milk;Classic 150g,Kräuter;
schmand;Schmand;Milchprodukte;Milk;24% Fett,200g Becher;
kondensmilch;Kondensmilch;Milchprodukte;Milk;10% Fett,7.5% Fett,Dose 340g;
haferdrink;Hafermilch;Milchprodukte;Milk;Oatly Barista,Bio 1l,Ungesüßt;
sojadrink;Sojamilch;Milchprodukte;Milk;Natur 1l,Vanille;
mandeldrink;Mandelmilch;Milchprodukte;Milk;Ungesüßt 1l,Röstmandel;
reisdrink;Reismilch;Milchprodukte;Milk;Bio 1l;
kokosdrink;Kokosdrink;Milchprodukte;Milk;1l Karton,Zum Kochen;
ayran;Ayran;Milchprodukte;Milk;250ml Becher,500ml;
kefir;Kefir;Milchprodukte;Milk;Kalinka 500g,Mild;
dickmilch;Dickmilch;Milchprodukte;Milk;500g Becher;
kaffeesahne;Kaffeesahne;Milchprodukte;Milk;10% Fett,200g;
kochsahne;Kochsahne;Milchprodukte;Milk;15% Fett,250ml,fettreduziert;
buttermilch;Buttermilch;Milchprodukte;Milk;500g Becher,Zitrone;
proteinpudding;Pudding;Milchprodukte;Milk;Schoko 200g,Vanille,Karamell;
milchreis_fertig;Milchreis;Milchprodukte;Milk;Müller Milchreis,Zimt,Zucker,Becher;
spruhsahne;Sprühsahne;Milchprodukte;Milk;250ml Dose;
krauterbutter;Kräuterbutter;Milchprodukte;Milk;100g Rolle,Meggle,Knoblauchbutter;
ghee;Ghee (Butterreinfett);Milchprodukte;Milk;Glas 250g;
mascarpone;Mascarpone;Milchprodukte;Milk;250g Becher,Für Tiramisu;
ricotta;Ricotta;Milchprodukte;Milk;250g Becher;
skyr;Skyr;Milchprodukte;Milk;Natur 500g,Heidelbeere,Vanille;
korniger_frischkase;Körniger Frischkäse / Hüttenkäse;Milchprodukte;Milk;200g Becher,High Protein;
ziegenmilch;Ziegenmilch;Milchprodukte;Milk;1l Karton;
schafsmilch;Schafsmilch;Milchprodukte;Milk;500ml;
laktosefreie_milch;Laktosefreie Milch;Milchprodukte;Milk;3.8% Fett,1.5%,1l;
hmilch;H-Milch;Milchprodukte;Milk;3.5% Fett,1.5% Fett,12er Karton;
kakaomilch;Kakao / Schokomilch;Milchprodukte;Milk;500ml Flasche,1l;
vanillemilch;Vanillemilch;Milchprodukte;Milk;500ml Packung;
bananenmilch;Bananenmilch;Milchprodukte;Milk;500ml Packung;
sahneersatz;Vegane Sahne;Milchprodukte;Milk;Cuisine 200ml;
vegane_butter;Vegane Butter / Block;Milchprodukte;Milk;Violife 225g,Naturli;
fruchtquark;Fruchtquark;Milchprodukte;Milk;Erdbeere 250g,Pfirsich-Maracuja;
tzatziki;Tzatziki;Milchprodukte;Milk;500g Becher,Knoblauch,Kühlregal;
griebenschmalz;Griebenschmalz;Milchprodukte;Milk;150g Töpfchen;
schweineschmalz;Schweineschmalz;Milchprodukte;Milk;250g Packung;
gouda;Gouda;Käse;Layers;Jung,Mittelalt,Alt,Scheiben,200g Stück;
mozzarella;Mozzarella;Käse;Layers;Kugel 125g,Büffelmozzarella,Gerieben,2er Pack;
parmesan;Parmesan;Käse;Layers;Grana Padano,Parmigiano Reggiano,Stück,Gerieben 100g;
feta;Feta;Käse;Layers;Original Feta 200g,Hirtenkäse;
halloumi;Halloumi / Grillkäse;Käse;Layers;Zypriotisch,Kräuter,200g;
emmentaler;Emmentaler;Käse;Layers;Scheiben,200g Stück;
cheddar;Cheddar;Käse;Layers;Herzhaft,Scheiben,Gerieben,Irish Red;
camembert;Camembert;Käse;Layers;Frz. Weichkäse,250g;
brie;Brie;Käse;Layers;Französischer Brie,200g Spitze;
bergkase;Bergkäse;Käse;Layers;Würziger Österreicher,200g;
gorgonzola;Gorgonzola;Käse;Layers;Dolce (mild),Piccante (kräftig),150g;
scheibenkase;Scheibenkäse;Käse;Layers;Gouda & Tilsiter,250g Packung;
geriebener_kase;Geriebener Käse;Käse;Layers;Gouda & Mozzarella 200g,Gratinkäse;
roquefort;Roquefort;Käse;Layers;Schafskäse Blau,100g;
manchego;Manchego;Käse;Layers;Spanischer Schafskäse,150g;
pecorino;Pecorino Romano;Käse;Layers;Stück 200g,Gerieben;
tilsiter;Tilsiter;Käse;Layers;Scheiben 200g,Herzhaft;
butterkase;Butterkäse;Käse;Layers;Mild,Scheiben 200g;
edamer;Edamer;Käse;Layers;Kugel,Scheiben 200g;
appenzeller;Appenzeller;Käse;Layers;Kräftig würzig,150g;
gruyere;Gruyère;Käse;Layers;Schweizer Hartkäse,200g,Graubündener;
raclettekase;Raclette-Käse;Käse;Layers;Scheiben 400g,Schweizer;
fonduekase;Fonduekäse;Käse;Layers;400g Beutel,Moitié-Moitié;
ziegenkase;Ziegenkäse-Rolle;Käse;Layers;Mit Speck ummantelt,150g;
harzer_kase;Harzer Käse / Handkäse;Käse;Layers;Mit Kümmel,200g Rolle;
provolone;Provolone;Käse;Layers;Italienischer Schnittkäse;
maasdammer;Maasdammer;Käse;Layers;Großloch-Käse,Scheiben;
leerdammer;Leerdammer;Käse;Layers;Original Scheiben 160g,Delacrème;
havarti;Havarti;Käse;Layers;Dänischer Käse,Cremig;
burrata;Burrata;Käse;Layers;Cremige Füllung,150g Kugel;
babybel;Babybel;Käse;Layers;6er Netz,Light,Bio;
schmelzkase;Schmelzkäse;Käse;Layers;Sahne,Kräuter,200g;
schmelzkasescheiben;Schmelzkäsescheiben (Chester);Käse;Layers;Für Burger,150g;
ziegenfrischkase;Ziegenfrischkäse;Käse;Layers;125g Töpfchen;
stilton;Stilton;Käse;Layers;Englischer Blauschimmel,Blue Cheese;
munsterkase;Münsterkäse;Käse;Layers;Rotschmiere 200g;
obazda;Obazda;Käse;Layers;Bayerisch 150g;
grillschimmel;Ofenkäse;Käse;Layers;Rougette 320g;
schnittkase;Schnittkäse würzig;Käse;Layers;Gouda Alt;
scamorza;Scamorza;Käse;Layers;250g Birne,geräuchert;
taleggio;Taleggio;Käse;Layers;Italienischer Weichkäse;
tête_de_moine;Tête de Moine;Käse;Layers;Rosetten 100g;
zauchenkaese;Zillertaler Käse;Käse;Layers;Würzig 200g;
veganer_kase_scheiben;Veganer Scheibenkäse;Käse;Layers;Simply V 150g,Violife;
veganer_pizzakase;Veganer Reibekäse;Käse;Layers;Zum Überbacken 200g;
esrom;Esrom Käse;Käse;Layers;Dänisch 200g;
chaumes;Chaumes Weichkäse;Käse;Layers;200g;
saint_albry;Saint Albry;Käse;Layers;Französisch 200g;
fol_epi;Fol Épi;Käse;Layers;Hauchfein Scheiben;
hackfleisch;Hackfleisch;Fleisch;Flame;Gemischt (Rind/Schwein),500g,1kg,Bio,Mager,Rind,Mager 400g,Pute;
putenbrust;Putenbrustfilet;Fleisch;Drumstick;500g,1kg;
schnitzel;Schnitzel;Fleisch;Flame;3 Stk 400g,Oberschale 400g,Paniert,Schwein,Wiener Schnitzel 2 Stk,Kalb;
rindersteak;Steak;Fleisch;Beef;Rumpsteak,Entrecôte,Ribeye,Filet,2 Stk,2 Stk 400g,Hüftsteak,Entrecote;
rindergulasch;Gulasch;Fleisch;Beef;Geschnitten 500g,1kg;
kotelett;Kotelett;Fleisch;Flame;Mit Knochen 500g,500g Scheiben,Kassler,4 Stk 300g,Lamm;
bacon;Bacon;Fleisch;Flame;Speckwürfel,Streifen,2x75g Würfel;
bratwurst;Bratwurst;Fleisch;Flame;Grobe Bratwurst 5er,Nürnberger,Käsewurst;
nurnberger;Nürnberger Rostbratwürstchen;Fleisch;Flame;14er Packung;
wiener_wurstchen;Wiener Würstchen;Fleisch;Flame;4er Pack,8er Pack;
bockwurst;Bockwurst;Fleisch;Flame;4 Stk Glas,Frisch;
leberkase;Leberkäse / Fleischkäse;Fleisch;Flame;Zum Selbstbacken 500g,Scheiben;
salami;Salami;Fleisch;Flame;Ungarisch,Italienisch,Scheiben 150g;
kochschinken;Schinken;Fleisch;Flame;Saftschinken,150g Packung,Spanisch 100g,Serrano,Italienisch 90g,Parma;
rohschinken;Rohschinken / Katenschinken;Fleisch;Flame;100g Scheiben;
mortadella;Mortadella;Fleisch;Flame;Mit Pistazien,100g Scheiben;
geflugelwurst;Geflügel-Aufschnitt;Fleisch;Drumstick;Hähnchenbrust-Aufschnitt 100g;
cabanossi;Cabanossi;Fleisch;Flame;300g Packung;
mettwurst;Mettwurst;Fleisch;Flame;Fein,Grob;
teewurst;Teewurst;Fleisch;Flame;Rügenwalder 125g;
leberwurst;Leberwurst;Fleisch;Flame;Feine Leberwurst,Pfälzer;
blutwurst;Blutwurst;Fleisch;Flame;Ring 300g;
chorizo;Chorizo;Fleisch;Flame;Würzig spanisch,Scheiben;
pastrami;Pastrami;Fleisch;Beef;Rinderaufschnitt 100g;
lammkeule;Lammfleisch;Fleisch;Flame;1kg mit Knochen;
entenbrust;Entenbrust;Fleisch;Drumstick;Barbarie 400g;11,12
gansebrust;Gänsebrust;Fleisch;Drumstick;1kg TK;11,12
landjager;Landjäger;Fleisch;Flame;2 Paar;
pfefferbeisser;Pfefferbeißer;Fleisch;Flame;4 Stk;
weisswurst;Münchner Weißwurst;Fleisch;Flame;4 Stk mit Süßem Senf;
currywurst;Currywurst;Fleisch;Flame;Mit Sauce 250g,Bratwurst;
lachs;Lachs;Fisch;Fish;200g Stück,400g Packung,Mit Haut;
raucherlachs;Räucherlachs;Fisch;Fish;100g Scheiben,200g Packung;
thunfisch_dose;Thunfisch;Fisch;Fish;In Eigensaft,In Öl,3er Pack;
thunfisch_steak;Frischer Thunfisch;Fisch;Fish;Sashimi-Qualität 200g;
garnelen;Garnelen / Shrimps;Fisch;Fish;King Prawns 250g,Knoblauch,Entdarmt,Garnelenspieße;
fischstabchen;Fischstäbchen;Fisch;Fish;15er Pack Iglo,Vollkorn;
kabeljau;Kabeljau / Dorsch;Fisch;Fish;Loins 300g,Frisch;
forelle;Forelle;Fisch;Fish;Ausgenommen 2 Stk,Frisch;
raucherforelle;Räucherforellen-Filet;Fisch;Fish;125g Packung;
meeresfruchte;Meeresfrüchte / Frutti di Mare;Fisch;Fish;TK Mix 500g,In Knoblauchöl;
scholle;Schollenfilet;Fisch;Fish;Frisch 300g,Finkenwerder;
seelachs;Seelachs / Köhler;Fisch;Fish;Pazifik 400g,Paniert;
zander;Zanderfilet;Fisch;Fish;Mit Haut 300g;
dorade;Dorade / Goldbrasse;Fisch;Fish;Ganz 400g;
wolfsbarsch;Wolfsbarsch / Lou de Mer;Fisch;Fish;Ganz 400g;
strettlachs;Stremellachs;Fisch;Fish;Pfeffer 125g,Natur;
heringsfilet;Heringsfilet;Fisch;Fish;In Tomatensauce 200g,In Sahne,Dose;
matjes;Matjesfilet;Fisch;Fish;Nordische Art 200g,Mit Zwiebeln;6,7
makrele;Makrele;Fisch;Fish;Pfeffermakrele 200g,Geräuchert;
sardinen;Sardinen;Fisch;Fish;In Olivenöl 125g,Dose;
sardellen;Sardellenfilets / Anchovis;Fisch;Fish;Glas 50g in Öl;
tintenfisch;Tintenfisch / Calamari;Fisch;Fish;Ringe paniert TK 500g;
oktopus;Oktopus;Fisch;Fish;Gekocht 250g;
muscheln;Miesmuscheln;Fisch;Fish;Frisch 1kg Beutel;9,10,11,12,1
jakobsmuscheln;Jakobsmuscheln / Scallops;Fisch;Fish;Ausgelöst TK 200g;
flusskrebse;Flusskrebs;Fisch;Fish;100g Lake;
surimi;Surimi / Crab Sticks;Fisch;Fish;200g Packung;
nordseekrabben;Nordseekrabben;Fisch;Fish;100g Becher,Gepult;
pangasius;Pangasiusfilet;Fisch;Fish;TK 500g;
rotbarsch;Rotbarschfilet;Fisch;Fish;Frisch 300g;
heilbutt;Heilbutt;Fisch;Fish;Weißer Heilbutt 150g,Geräuchert;
karpfen;Karpfen;Fisch;Fish;Hufeisen 500g;12
aal;Räucheraal;Fisch;Fish;Stück 150g;
lachsforelle;Lachsforellenfilet;Fisch;Fish;Frisch 300g;
krabbensalat;Krabbensalat / Feinkost;Fisch;Fish;Dill 150g;
thunfischsalat;Thunfischsalat;Fisch;Fish;Western Art 160g;
viktoriabarsch;Viktoriabarschfilet;Fisch;Fish;Frisch 300g;
seeteufel;Seeteufelfilet;Fisch;Fish;200g;
kaviar;Kaviar;Fisch;Fish;Glas 50g;
fischfrikadellen;Fischfrikadellen;Fisch;Fish;2 Stk 200g;
bismarckhering;Bismarckhering;Fisch;Fish;Glas 500g;
rollmops;Rollmops;Fisch;Fish;Glas 500g mit Gurke;
brathering;Brathering;Fisch;Fish;Dose 300g;
schlemmerfilet;Schlemmerfilet;Fisch;Fish;Iglo 380g;
fischfond;Fischfond;Fisch;Soup;Glas 400ml;
krebssuppe;Hummercremesuppe;Fisch;Soup;400ml,Dose;
seeteufelbäckchen;Seeteufelbäckchen;Fisch;Fish;200g;
sushi;Sushi;Fisch;Fish;Maki,Nigiri,Mix-Box,Vegetarisch,12 Stk;
eier;Eier;Grundzutaten;Egg;6er Pack,10er Pack,Freiland M,Bio L;
dinkelmehl;Dinkelmehl Type 630;Grundzutaten;Wheat;1kg Packung;
vollkornmehl;Vollkornmehl;Grundzutaten;Wheat;1kg Packung;
zucker;Zucker;Grundzutaten;Egg;1kg Packung;
rohrzucker;Brauner Rohrzucker;Grundzutaten;Egg;500g Packung;
puderzucker;Puderzucker;Grundzutaten;Egg;250g Packung;
vanillezucker;Vanillezucker;Grundzutaten;Egg;10er Pck;
salz;Salz;Grundzutaten;Egg;Speisesalz,Meersalz (Grob),Knoblauchsalz,Kräutersalz,Jodsalz 500g;
olivenol;Olivenöl;Grundzutaten;Droplets;750ml Flasche,1l;
rapsol;Rapsöl;Grundzutaten;Droplets;1l Flasche,Zum Braten;
sonnenblumenol;Sonnenblumenöl;Grundzutaten;Droplets;1l Flasche;
sesamol;Sesamöl;Grundzutaten;Droplets;250ml Flasche,Geröstet;
balsamico;Balsamico;Grundzutaten;Wine;Dunkel 500ml,Bianco;
apfelessig;Apfelessig;Grundzutaten;Wine;Naturtrüb 750ml;
weissweinessig;Weißweinessig;Grundzutaten;Wine;500ml Flasche;
reisessig;Reisessig;Grundzutaten;Wine;Mild 250ml,Für Sushi;
passierte_tomaten;Passierte Tomaten;Grundzutaten;Package;500g Tetrapack,700g Glas,Passata;
tomatenmark;Tomatenmark;Grundzutaten;Package;200g Tube,3-fach konzentriert;
stueckige_tomaten;Dosentomaten;Grundzutaten;Package;400g Dose;
backpulver;Backpulver;Grundzutaten;Package;6er Pack;
trockenhefe;Trockenbackhefe;Grundzutaten;Package;5er Pack;
frische_hefe;Frische Hefe;Grundzutaten;Package;42g Würfel,Würfel;
speisestarke;Speisestärke;Grundzutaten;Package;400g Packung,Mondamin;
gelatine;Blattgelatine;Grundzutaten;Package;Weiß 6 Blätter;
sahnesteif;Sahnesteif;Grundzutaten;Package;5er Pack;
natron;Natron;Grundzutaten;Package;5er Beutel;
